Frame,Acquisition Time,Acquisition Time MDT,Cluster Count,Energy(Kev),Dose rate (uSv),SMALL_BLOB,HEAVY_TRACK,HEAVY_BLOB,MEDIUM_BLOB,STRAIGHT_TRACK,LIGHT_TRACK,Altitude,Dose
220,3:48:53 AM,8:48:53 AM,1,527.16,0.01,0,0,0,0,0,1,4153,0.329373407
221,3:48:59 AM,8:48:59 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
222,3:49:05 AM,8:49:05 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
223,3:49:12 AM,8:49:12 AM,3,152.13,0.00,3,0,0,0,0,0,4153,0.095052801
224,3:49:18 AM,8:49:18 AM,1,390.02,0.00,0,0,0,0,0,1,4153,0.243688707
225,3:49:24 AM,8:49:24 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
226,3:49:30 AM,8:49:30 AM,3,408.25,0.00,2,0,0,0,0,1,4153,0.255078081
227,3:49:37 AM,8:49:37 AM,1,27.67,0.00,1,0,0,0,0,0,4153,0.017290654
228,3:49:43 AM,8:49:43 AM,2,101.74,0.00,2,0,0,0,0,0,4153,0.063569233
229,3:49:49 AM,8:49:49 AM,1,129.56,0.00,1,0,0,0,0,0,4153,0.080946965
230,3:49:55 AM,8:49:55 AM,1,49.99,0.00,1,0,0,0,0,0,4153,0.031232506
231,3:50:02 AM,8:50:02 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
232,3:50:08 AM,8:50:08 AM,1,209.57,0.00,0,0,0,0,0,1,4153,0.130940575
233,3:50:14 AM,8:50:14 AM,2,647.71,0.01,0,0,0,0,0,2,4153,0.404695736
234,3:50:21 AM,8:50:21 AM,3,318.90,0.00,2,0,0,0,0,1,4153,0.199251192
235,3:50:27 AM,8:50:27 AM,1,412.36,0.00,0,0,0,0,0,1,4153,0.257646721
236,3:50:33 AM,8:50:33 AM,1,54.13,0.00,1,0,0,0,0,0,4153,0.033819198
237,3:50:39 AM,8:50:39 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
238,3:50:46 AM,8:50:46 AM,1,11.50,0.00,1,0,0,0,0,0,4153,0.007187091
239,3:50:52 AM,8:50:52 AM,2,210.55,0.00,2,0,0,0,0,0,4153,0.131556331
240,3:50:58 AM,8:50:58 AM,1,142.01,0.00,0,0,0,0,0,1,4153,0.088726652
241,3:51:04 AM,8:51:04 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
242,3:51:11 AM,8:51:11 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
243,3:51:17 AM,8:51:17 AM,1,11.43,0.00,1,0,0,0,0,0,4153,0.007143626
244,3:51:23 AM,8:51:23 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
245,3:51:29 AM,8:51:29 AM,1,26.92,0.00,1,0,0,0,0,0,4153,0.016821293
246,3:51:36 AM,8:51:36 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
247,3:51:42 AM,8:51:42 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
248,3:51:48 AM,8:51:48 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
249,3:51:55 AM,8:51:55 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
250,3:52:01 AM,8:52:01 AM,1,46.73,0.00,1,0,0,0,0,0,4153,0.02919992
251,3:52:07 AM,8:52:07 AM,2,577.88,0.01,1,0,0,0,0,1,4153,0.36106584
252,3:52:13 AM,8:52:13 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
253,3:52:20 AM,8:52:20 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
254,3:52:26 AM,8:52:26 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
255,3:52:32 AM,8:52:32 AM,1,438.08,0.00,0,0,0,0,0,1,4153,0.273718172
256,3:52:39 AM,8:52:39 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
257,3:52:45 AM,8:52:45 AM,2,180.37,0.00,2,0,0,0,0,0,4153,0.112694279
258,3:52:51 AM,8:52:51 AM,1,654.87,0.01,0,0,0,0,0,1,4153,0.409168787
259,3:52:57 AM,8:52:57 AM,1,463.59,0.00,0,0,0,0,0,1,4153,0.289653644
260,3:53:04 AM,8:53:04 AM,1,358.44,0.00,0,0,0,0,0,1,4153,0.223956492
261,3:53:10 AM,8:53:10 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
262,3:53:16 AM,8:53:16 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
263,3:53:22 AM,8:53:22 AM,2,145.23,0.00,2,0,0,0,0,0,4153,0.090739841
264,3:53:29 AM,8:53:29 AM,2,228.69,0.00,2,0,0,0,0,0,4153,0.142884663
265,3:53:35 AM,8:53:35 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
266,3:53:41 AM,8:53:41 AM,1,174.21,0.00,1,0,0,0,0,0,4153,0.108847366
267,3:53:47 AM,8:53:47 AM,1,212.87,0.00,0,0,0,0,0,1,4153,0.133004527
268,3:53:54 AM,8:53:54 AM,1,176.19,0.00,1,0,0,0,0,0,4153,0.110086635
269,3:54:00 AM,8:54:00 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
270,3:54:06 AM,8:54:06 AM,1,27.48,0.00,1,0,0,0,0,0,4153,0.017171635
