"Date","Time","---","Sensor Name","Data"
"1:21:22","9/3/17","DATA","PRESSURE_S:","877.88"
"1:21:26","9/3/17","DATA","PRESSURE_S:","877.78"
"1:21:29","9/3/17","DATA","PRESSURE_S:","877.86"
"1:21:33","9/3/17","DATA","PRESSURE_S:","877.98"
"1:21:36","9/3/17","DATA","PRESSURE_S:","877.54"
"1:21:40","9/3/17","DATA","PRESSURE_S:","877.20"
"1:21:43","9/3/17","DATA","PRESSURE_S:","877.26"
"1:21:47","9/3/17","DATA","PRESSURE_S:","877.30"
"1:21:50","9/3/17","DATA","PRESSURE_S:","876.96"
"1:21:54","9/3/17","DATA","PRESSURE_S:","877.94"
"1:21:57","9/3/17","DATA","PRESSURE_S:","878.52"
"1:22:01","9/3/17","DATA","PRESSURE_S:","878.48"
"1:22:04","9/3/17","DATA","PRESSURE_S:","878.38"
"1:22:08","9/3/17","DATA","PRESSURE_S:","878.68"
"1:22:11","9/3/17","DATA","PRESSURE_S:","878.18"
"1:22:15","9/3/17","DATA","PRESSURE_S:","878.02"
"1:22:18","9/3/17","DATA","PRESSURE_S:","877.92"
"1:22:22","9/3/17","DATA","PRESSURE_S:","878.10"
"1:22:25","9/3/17","DATA","PRESSURE_S:","877.66"
"1:22:29","9/3/17","DATA","PRESSURE_S:","877.50"
"1:22:32","9/3/17","DATA","PRESSURE_S:","876.94"
"1:22:36","9/3/17","DATA","PRESSURE_S:","877.40"
"1:22:39","9/3/17","DATA","PRESSURE_S:","877.14"
"1:22:43","9/3/17","DATA","PRESSURE_S:","876.90"
"1:22:46","9/3/17","DATA","PRESSURE_S:","876.78"
"1:22:50","9/3/17","DATA","PRESSURE_S:","877.52"
"1:22:53","9/3/17","DATA","PRESSURE_S:","877.08"
"1:22:57","9/3/17","DATA","PRESSURE_S:","876.80"
"1:23:00","9/3/17","DATA","PRESSURE_S:","877.62"
"1:23:04","9/3/17","DATA","PRESSURE_S:","877.58"
"1:23:07","9/3/17","DATA","PRESSURE_S:","877.02"
"1:23:11","9/3/17","DATA","PRESSURE_S:","877.36"
"1:23:14","9/3/17","DATA","PRESSURE_S:","878.38"
"1:23:18","9/3/17","DATA","PRESSURE_S:","878.44"
